Author,Pub_Year,English_Name,Life_stage,Life_stage_category,Response_variable,response_type,unique_study,treatment_var,rate_or_biomass,response_type_2,term,estimate,std.error,statistic,p.value,mean_estimate,se_estimate,replicate
Clark,2011,Pink Salmon,Adult,adult or juvenile,aerobic scope,metabolic rate,19,temperature,rate,ability_productivity_growth_survival,(Intercept),0.6319301819181442,0.10042647786063118,6.292465845462765,7.162970962232829e-7,0.6319301819181442,0.10042647786063118,NA
Clark,2011,Pink Salmon,Adult,adult or juvenile,aerobic scope,metabolic rate,19,temperature,rate,ability_productivity_growth_survival,treat_value,0.0013322244283994445,0.005381202394934388,0.24757002815087167,0.8062115812873514,0.0013322244283994445,0.005381202394934388,NA
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,33,temperature,rate,consumption,(Intercept),-0.012917939779621801,0.13122056193977255,-0.09844447843129082,0.9229749818431106,-0.012917939779621801,0.13122056193977255,NA
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,33,temperature,rate,consumption,treat_value,0.033272611023592545,0.008491545499946867,3.9183221739553464,0.0015450394133234588,0.033272611023592545,0.008491545499946867,NA
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,36,temperature,biomass,ability_productivity_growth_survival,(Intercept),-0.06293682296654829,0.0647276283487286,-0.9723332149212681,0.34738579624558297,-0.06293682296654829,0.0647276283487286,NA
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,36,temperature,biomass,ability_productivity_growth_survival,treat_value,0.027234602448366275,0.00418606476873618,6.506015542752508,1.3879821717147968e-5,0.027234602448366275,0.00418606476873618,NA
Kaldy,2014,seagrass,Adult,adult or juvenile,relative growth rate,growth,54,temperature,biomass,ability_productivity_growth_survival,(Intercept),-0.07393708492595885,0.1265859791785089,-0.5840858948659261,0.5752579989388343,-0.07393708492595885,0.1265859791785089,NA
Kaldy,2014,seagrass,Adult,adult or juvenile,relative growth rate,growth,54,temperature,biomass,ability_productivity_growth_survival,treat_value,0.041166521630919335,0.007956652054721727,5.1738496729274255,8.491233833374429e-4,0.041166521630919335,0.007956652054721727,NA
MacNutt et al,2006,Pink Salmon,Adult,adult or juvenile,aerobic scope,metabolic rate,67,temperature,rate,ability_productivity_growth_survival,(Intercept),0.6595639472770981,0.14528526420667776,4.539785578934044,9.749453208283447e-5,0.6595639472770981,0.14528526420667776,NA
MacNutt et al,2006,Pink Salmon,Adult,adult or juvenile,aerobic scope,metabolic rate,67,temperature,rate,ability_productivity_growth_survival,treat_value,-0.007670816439028101,0.009650209773404686,-0.7948859785585536,0.43336634092173665,-0.007670816439028101,0.009650209773404686,NA
Miller et al,2017,seagrass,Adult,adult or juvenile,photosynthesis rate,metabolic rate,79,CO2,rate,ability_productivity_growth_survival,(Intercept),0.059576376251489545,0.09904355559591262,0.6015169376042491,0.5523352455644203,0.059576376251489545,0.09904355559591262,NA
Miller et al,2017,seagrass,Adult,adult or juvenile,photosynthesis rate,metabolic rate,79,CO2,rate,ability_productivity_growth_survival,treat_value,3.576184175573787e-4,1.623195825561155e-4,2.203174822937623,0.035977520306995574,3.576184175573787e-4,1.623195825561155e-4,NA
Mortensen and Savviko,1993,Pink Salmon,Juvenile,adult or juvenile,growth_rate,growth,81,temperature,biomass,ability_productivity_growth_survival,(Intercept),0.32006954842455865,0.0503392890576,6.358245307324935,0.0014219885663238655,0.32006954842455865,0.0503392890576,NA
Mortensen and Savviko,1993,Pink Salmon,Juvenile,adult or juvenile,growth_rate,growth,81,temperature,biomass,ability_productivity_growth_survival,treat_value,0.03614287243967123,0.0034878394521787055,10.362539026013456,1.4407486343888937e-4,0.03614287243967123,0.0034878394521787055,NA
Reed,1969,Dungeness crab,larvae,propagule,survival,survival,86,salinity,biomass,ability_productivity_growth_survival,(Intercept),1.3866248693834906,NA,NA,NA,1.3866248693834906,NA,NA
Reed,1969,Dungeness crab,larvae,propagule,survival,survival,86,salinity,biomass,ability_productivity_growth_survival,treat_value,-0.015464994775339629,NA,NA,NA,-0.015464994775339629,NA,NA
Reed,1969,Dungeness crab,larvae,propagule,survival,survival,87,temperature,biomass,ability_productivity_growth_survival,(Intercept),1.2946284224250326,0.40361183357012426,3.207607693197384,0.04904577211656061,1.2946284224250326,0.40361183357012426,NA
Reed,1969,Dungeness crab,larvae,propagule,survival,survival,87,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.036592785745328135,0.026989749826674368,-1.355803072659938,0.2681937484979772,-0.036592785745328135,0.026989749826674368,NA
Sayce and Tufts,1971,Razor Clam,Adult,adult or juvenile,survival,survival,91,temperature,biomass,ability_productivity_growth_survival,(Intercept),3.262592692396126,0.47557945854968914,6.860247291473894,1.2963554105701065e-4,3.262592692396126,0.47557945854968914,NA
Sayce and Tufts,1971,Razor Clam,Adult,adult or juvenile,survival,survival,91,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.12028666115951529,0.019279368163989567,-6.239139173875491,2.4862011947718814e-4,-0.12028666115951529,0.019279368163989567,NA
Sullivan and Smith,1982,sablefish,Adult,adult or juvenile,respiration rate,metabolic rate,101,oxygen,rate,consumption,(Intercept),0.0024455665509016318,0.08940384044174267,0.02735415546824537,0.9785927238050183,0.0024455665509016318,0.08940384044174267,NA
Sullivan and Smith,1982,sablefish,Adult,adult or juvenile,respiration rate,metabolic rate,101,oxygen,rate,consumption,treat_value,0.12371229418987142,0.020435836700284447,6.053693616965997,4.0745179164973246e-5,0.12371229418987142,0.020435836700284447,NA
Taylor,1959,Razor Clam,Adult,adult or juvenile,instantaneous growth rate,growth,102,temperature,biomass,ability_productivity_growth_survival,(Intercept),-0.07008659082359081,0.5100041008470678,-0.13742358288332135,0.8973358247889598,-0.07008659082359081,0.5100041008470678,NA
Taylor,1959,Razor Clam,Adult,adult or juvenile,instantaneous growth rate,growth,102,temperature,biomass,ability_productivity_growth_survival,treat_value,0.06913935348167406,0.04597088503341753,1.5039813445274053,0.20702387896693072,0.06913935348167406,0.04597088503341753,NA
Thom,1996,Canopy-forming Kelp,Adult,adult or juvenile,oxygen flux,metabolic rate,105,CO2,rate,consumption,(Intercept),0.2890995472899329,0.06174511265034607,4.682144624580461,1.1405320497947415e-4,0.2890995472899329,0.06174511265034607,NA
Thom,1996,Canopy-forming Kelp,Adult,adult or juvenile,oxygen flux,metabolic rate,105,CO2,rate,consumption,treat_value,5.140737836824097e-4,1.0155913217505139e-4,5.061817412897263,4.536547388674778e-5,5.140737836824097e-4,1.0155913217505139e-4,NA
Thom,1996,seagrass,Adult,adult or juvenile,oxygen flux,metabolic rate,109,CO2,rate,consumption,(Intercept),0.2679879627377138,0.07908409938586211,3.388645313265363,0.0025270842949382836,0.2679879627377138,0.07908409938586211,NA
