English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,thesis,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Extracted_from,Comments,Response_variable,rate_or_biomass,response_type,response_type_2,Effect of treatment,Study_Duration,Study_Duration_Units,citation details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,omega ar,DIC _umol_kg-1,ppm CO2,CO2,salinity,temperature,oxygen_in_orig_units,orig_oxygen_units,oxygen,unit_conversion_citation,treatment_var,treatment_name_or_other_details,comments,extraction method,study_design
Dungeness crab,Cancer,magister,pH,Christmas,2013,Western Washington University,thesis,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,,swimming_speed,rate,movement,activity_speed,positive,5,Days,Fig. 5_ 5 days,0.38,0.1,,,mm/sec,30,7.8,506,,,,506,31.51,15.93,,,,,CO2,control,,,anova
Dungeness crab,Cancer,magister,pH,Christmas,2013,Western Washington University,thesis,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,,swimming_speed,rate,movement,activity_speed,positive,5,Days,Fig. 5_ 5 days,0.66,0.14,,,mm/sec,29,7.53,1031,,,,1031,31.51,15.93,,,,,CO2,high,,,anova
Dungeness crab,Cancer,magister,pH,Christmas,2013,Western Washington University,thesis,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,,turning_frequency,rate,movement,activity_speed,positive,5,Days,Fig. 9_ 5 days,0.46,0.08,,,turns/sec,30,7.8,506,,,,506,31.51,15.93,,,,,CO2,control,,,anova
Dungeness crab,Cancer,magister,pH,Christmas,2013,Western Washington University,thesis,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,,turning_frequency,rate,movement,activity_speed,positive,5,Days,Fig. 9_ 5 days,0.78,0.11,,,turns/sec,29,7.53,1031,,,,1031,31.51,15.93,,,,,CO2,high,,,anova
Dungeness crab,Cancer,magister,pH,Christmas,2013,Western Washington University,thesis,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,,feeding_rate,rate,consumption,consumption,negative,5,Days,Fig. 13_ 5 days,3.1,0.25,,,food unit per day,50,7.8,506,,,,506,31.51,15.93,,,,,CO2,control,,,anova
Dungeness crab,Cancer,magister,pH,Christmas,2013,Western Washington University,thesis,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,,feeding_rate,rate,consumption,consumption,negative,5,Days,Fig. 13_ 5 days,2.5,0.25,,,food unit per day,50,7.53,1031,,,,1031,31.51,15.93,,,,,CO2,high,,,anova
Dungeness crab,Cancer,magister,pH,Descoteaux,2014,Thesis University of Alaska Fairbanks,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,Brood from 1 female,survival,biomass,survival,ability_productivity_growth_survival,negative,10,Days,Fig. 5_ day 10,44,,,,out of 100,1,8.05,,,,,,,10.15,,,,,CO2,control,Larvae from only one female. Value of response not given,,anova
Dungeness crab,Cancer,magister,pH,Descoteaux,2014,Thesis University of Alaska Fairbanks,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,Brood from 1 female,survival,biomass,survival,ability_productivity_growth_survival,negative,10,Days,Fig. 5_ day 10,25,,,,out of 100,1,7.5,,,,,,,10.5,,,,,CO2,high,Larvae from only one female. Value of response not given,,anova
Dungeness crab,Cancer,magister,pH,Descoteaux,2014,Thesis University of Alaska Fairbanks,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,Brood from 1 female,size,biomass,growth,ability_productivity_growth_survival,no diff,6,Days,Fig. 8_ day 6,0.0037,0.0013,,,mg,3,8.05,,,,,,,10.15,,,,,CO2,control,Larvae from only one female. Used the highest pH contrast,,anova
Dungeness crab,Cancer,magister,pH,Descoteaux,2014,Thesis University of Alaska Fairbanks,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,Brood from 1 female,size,biomass,growth,ability_productivity_growth_survival,no diff,6,Days,Fig. 8_ day 6,0.002,0.0015,,,mg,3,7.5,,,,,,,10.5,,,,,CO2,high,Larvae from only one female. Used the highest pH contrast,,anova
Dungeness crab,Cancer,magister,pH,Hans et al,2014,Marine Biology,,Malacostraca,Decapoda,Local supermarket (Superstore_ Winnipeg_ Manitoba),Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Adult,adult or juvenile,Busch and McHany_2016,Artificial seawater 9-15 days of incubation,oxygen consumption,rate,metabolic rate,consumption,negative,15,Days,Fig. 4,0.265,0.06,,,umol g-1 h-1,5,8.1,,,,,,32,14,,,,,CO2,control,,,anova
